timestamp,window_id,slug,pnl,entry_side,real_winner_side,h_market_win,h_salvaged,h_salvage_win,entry_price,exit_price,cum_market_wins,cum_market_losses,cum_salvage_escapes,cum_salvage_wins
1781701499832,3,btc-updown-5m-1781701200,-22.8462,UP,DOWN,false,true,false,0.39,0.06,0,1,1,0
1781701799832,4,btc-updown-5m-1781701500,-19.3846,UP,DOWN,false,true,false,0.39,0.11,0,2,2,0
1781702099831,5,btc-updown-5m-1781701800,-27.0000,DOWN,UP,false,false,false,0.39,,0,3,2,0
1781702699836,7,btc-updown-5m-1781702400,-27.0000,UP,DOWN,false,false,false,0.39,,0,4,2,0
1781702999837,8,btc-updown-5m-1781702700,42.2308,UP,UP,true,false,false,0.39,1.00,1,4,2,0
1781703599841,10,btc-updown-5m-1781703300,-27.0000,DOWN,UP,false,false,false,0.39,,1,5,2,0
1781704199840,12,btc-updown-5m-1781703900,-19.3846,DOWN,UP,false,true,false,0.39,0.11,1,6,3,0
1781704499841,13,btc-updown-5m-1781704200,-18.6923,DOWN,UP,false,true,false,0.39,0.12,1,7,4,0
1781705399846,16,btc-updown-5m-1781705100,-23.5385,DOWN,UP,false,true,false,0.39,0.05,1,8,5,0
1781705699848,17,btc-updown-5m-1781705400,-27.0000,DOWN,UP,false,false,false,0.39,,1,9,5,0
1781706299849,19,btc-updown-5m-1781706000,-18.6923,UP,DOWN,false,true,false,0.39,0.12,1,10,6,0
1781706899855,21,btc-updown-5m-1781706600,-21.3158,UP,DOWN,false,true,false,0.38,0.08,1,11,7,0
1781707199853,22,btc-updown-5m-1781706900,-22.8462,UP,DOWN,false,true,false,0.39,0.06,1,12,8,0
1781707499855,23,btc-updown-5m-1781707200,44.0526,UP,UP,true,false,false,0.38,1.00,2,12,8,0
1781707799859,24,btc-updown-5m-1781707500,44.0526,DOWN,DOWN,true,false,false,0.38,1.00,3,12,8,0
1781708399859,26,btc-updown-5m-1781708100,-27.0000,UP,DOWN,false,false,false,0.39,,3,13,8,0
