timestamp,window_id,slug,cross_count,significant_cross_count,final_side,last_cross_atr
1781824499909,0,btc-updown-5m-1781824200,21,9,DOWN,36.27142857142878
1781824799911,1,btc-updown-5m-1781824500,2,0,UP,37.142857142857146
1781825099914,2,btc-updown-5m-1781824800,36,9,UP,26.207142857142962
1781825399917,3,btc-updown-5m-1781825100,13,3,UP,22.61428571428561
1781825699916,4,btc-updown-5m-1781825400,0,0,UP,23.235714285715012
1781825999919,5,btc-updown-5m-1781825700,29,7,UP,24.185714285716262
1781826299919,6,btc-updown-5m-1781826000,6,3,UP,22.892857142858183
1781826599923,7,btc-updown-5m-1781826300,33,10,UP,24.22857142857174
1781826899927,8,btc-updown-5m-1781826600,4,1,UP,26.67857142857195
