timestamp,window_id,slug,cross_count,significant_cross_count,final_side,last_cross_atr
1781816699236,0,btc-updown-5m-1781816400,26,10,UP,17.535714285713766
1781816999238,1,btc-updown-5m-1781816700,9,0,UP,14.621428571427844
1781817299239,2,btc-updown-5m-1781817000,0,0,DOWN,16.15714285714161
1781817599244,3,btc-updown-5m-1781817300,9,1,UP,29.078571428570285
1781817899243,4,btc-updown-5m-1781817600,29,3,UP,44.72857142857174
1781818199242,5,btc-updown-5m-1781817900,0,0,DOWN,42.214285714285715
1781818499245,6,btc-updown-5m-1781818200,3,0,UP,35.25
