timestamp,window_id,slug,event,status_before,current_atr,spot_price,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask
1780560899531,1,btc-updown-15m-1780560900,promote_live,ENTERED_PRE_START,93.7571,63302.3751,,,,0.5600,0.5700,0.4400,0.4500
1780561799547,2,btc-updown-15m-1780561800,promote_live,ENTERED_PRE_START,130.0857,63412.4323,,,,0.5100,0.5200,0.4900,0.5000
1780562699541,3,btc-updown-15m-1780562700,promote_live,ENTERED_PRE_START,108.1143,63344.6287,,,,0.5000,0.5100,0.5000,0.5100
1780563599543,4,btc-updown-15m-1780563600,promote_live,ENTERED_PRE_START,85.1357,63550.0785,,,,0.4800,0.4900,0.5200,0.5300
1780564499543,5,btc-updown-15m-1780564500,promote_live,ENTERED_PRE_START,98.7357,63270.5054,,,,0.5100,0.5200,0.4900,0.5000
1780565399545,6,btc-updown-15m-1780565400,promote_live,ENTERED_PRE_START,109.5214,62790.1482,,,,0.5800,0.5900,0.4200,0.4400
1780566299548,7,btc-updown-15m-1780566300,promote_live,ENTERED_PRE_START,122.5429,62825.7330,,,,0.5400,0.5500,0.4600,0.4700
