timestamp,window_id,slug,reason,entry_mode,entry_side,current_atr,up_ask,down_ask,budget_multiplier,cheaper_side_ratio,total_budget,buy_up_usd,buy_up_shares,buy_down_usd,buy_down_shares
1780547281136,68,btc-updown-5m-1780547400,d1_one_leg_up_ask_0.49_fair_0.500_edge_+0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.030_discount_req_0.025_combined_1.01_atr_80.47_atr_regime_volatile_budget_mult_0.10,one_side,UP,80.4714,0.4900,0.5200,0.1000,0.5000,3.0000,3.0000,6.12244898,0.0000,0.00000000
1780547579134,69,btc-updown-5m-1780547700,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_81.34_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,81.3357,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780547879132,70,btc-updown-5m-1780548000,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_81.15_atr_regime_volatile_budget_mult_0.10,one_side,UP,81.1500,0.5100,0.5100,0.1000,0.5000,3.0000,3.0000,5.88235294,0.0000,0.00000000
1780548179133,71,btc-updown-5m-1780548300,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_82.04_atr_regime_volatile_budget_mult_0.10,one_side,UP,82.0429,0.5100,0.5100,0.1000,0.5000,3.0000,3.0000,5.88235294,0.0000,0.00000000
1780548479132,72,btc-updown-5m-1780548600,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_77.68_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,77.6786,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780548779133,73,btc-updown-5m-1780548900,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.025_combined_1.02_atr_65.85_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,65.8500,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780549079134,74,btc-updown-5m-1780549200,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_59.12_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,59.1214,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780549379135,75,btc-updown-5m-1780549500,d1_one_leg_down_ask_0.49_fair_0.500_edge_+0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.040_discount_req_0.025_combined_1.02_atr_60.39_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,60.3929,0.5300,0.4900,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.12244898
1780549680133,76,btc-updown-5m-1780549800,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_85.43_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,85.4286,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780549989135,77,btc-updown-5m-1780550100,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.030_discount_req_0.035_combined_1.03_atr_106.09_atr_regime_storm_budget_mult_0.10,one_side,DOWN,106.0929,0.5300,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780550294135,78,btc-updown-5m-1780550400,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_105.12_atr_regime_storm_budget_mult_0.10,one_side,DOWN,105.1214,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780550582135,79,btc-updown-5m-1780550700,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_106.54_atr_regime_storm_budget_mult_0.10,one_side,DOWN,106.5357,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780550879135,80,btc-updown-5m-1780551000,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_107.91_atr_regime_storm_budget_mult_0.10,one_side,DOWN,107.9143,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780551187135,81,btc-updown-5m-1780551300,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_108.34_atr_regime_storm_budget_mult_0.10,one_side,UP,108.3429,0.5100,0.5100,0.1000,0.5000,3.0000,3.0000,5.88235294,0.0000,0.00000000
1780551479134,82,btc-updown-5m-1780551600,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_111.44_atr_regime_storm_budget_mult_0.10,one_side,DOWN,111.4429,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780551779135,83,btc-updown-5m-1780551900,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_118.73_atr_regime_storm_budget_mult_0.10,one_side,DOWN,118.7286,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780552079135,84,btc-updown-5m-1780552200,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_102.93_atr_regime_storm_budget_mult_0.10,one_side,DOWN,102.9286,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780552379134,85,btc-updown-5m-1780552500,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_79.91_atr_regime_volatile_budget_mult_0.10,one_side,UP,79.9143,0.5100,0.5100,0.1000,0.5000,3.0000,3.0000,5.88235294,0.0000,0.00000000
1780552680133,86,btc-updown-5m-1780552800,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.025_combined_1.02_atr_70.45_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,70.4500,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780552979135,87,btc-updown-5m-1780553100,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_69.47_atr_regime_volatile_budget_mult_0.10,one_side,UP,69.4714,0.5100,0.5100,0.1000,0.5000,3.0000,3.0000,5.88235294,0.0000,0.00000000
1780553280133,88,btc-updown-5m-1780553400,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.010_discount_req_0.025_combined_1.01_atr_71.39_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,71.3857,0.5100,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780553581133,89,btc-updown-5m-1780553700,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_68.51_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,68.5143,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780553879134,90,btc-updown-5m-1780554000,d1_one_leg_up_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.010_discount_req_0.025_combined_1.01_atr_73.13_atr_regime_volatile_budget_mult_0.10,one_side,UP,73.1286,0.5000,0.5100,0.1000,0.5000,3.0000,3.0000,6.00000000,0.0000,0.00000000
1780554210134,91,btc-updown-5m-1780554300,d1_one_leg_up_ask_0.49_fair_0.500_edge_+0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.040_discount_req_0.025_combined_1.02_atr_84.79_atr_regime_volatile_budget_mult_0.10,one_side,UP,84.7857,0.4900,0.5300,0.1000,0.5000,3.0000,3.0000,6.12244898,0.0000,0.00000000
1780554479134,92,btc-updown-5m-1780554600,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_91.69_atr_regime_storm_budget_mult_0.10,one_side,DOWN,91.6857,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780554779133,93,btc-updown-5m-1780554900,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_85.24_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,85.2357,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780555079134,94,btc-updown-5m-1780555200,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.025_combined_1.02_atr_85.63_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,85.6286,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780555379134,95,btc-updown-5m-1780555500,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_84.76_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,84.7643,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780555686134,96,btc-updown-5m-1780555800,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_-0.010_discount_req_0.025_combined_1.01_atr_83.31_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,83.3071,0.5000,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780555979134,97,btc-updown-5m-1780556100,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_69.70_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,69.7000,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780556288136,98,btc-updown-5m-1780556400,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.025_combined_1.02_atr_73.39_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,73.3857,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780556579136,99,btc-updown-5m-1780556700,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_61.90_atr_regime_volatile_budget_mult_0.10,one_side,UP,61.9000,0.5100,0.5100,0.1000,0.5000,3.0000,3.0000,5.88235294,0.0000,0.00000000
1780556881135,100,btc-updown-5m-1780557000,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.025_combined_1.02_atr_64.55_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,64.5500,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780557179135,101,btc-updown-5m-1780557300,d1_one_leg_down_ask_0.49_fair_0.500_edge_+0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.040_discount_req_0.025_combined_1.02_atr_69.93_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,69.9286,0.5300,0.4900,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.12244898
