timestamp,window_id,slug,action,side,amount,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,spent,returned,mtm,unrealized_pnl
1780310404156,1,btc-updown-5m-1780310400,SELL,UP,7.61538462,0.6200,tvds_strong_grid_exit_step_1_0.62_zone_near_usd_5.02_pct_0.0069_vel_neutral,true,42.9929,295,1.67,72562.9040,0.479996,0.577694,0.310094,,,,0.6200,0.6300,0.3700,0.4100,25.38461538,33.60000000,30.0000,0.0000,28.1705,-1.8295
1780310441441,1,btc-updown-5m-1780310400,SELL,UP,7.61538462,0.7200,tvds_strong_grid_exit_step_2_0.72_zone_near_usd_12.80_pct_0.0176_vel_neutral,true,42.9929,258,14.00,72570.6824,0.261814,0.573963,0.210249,,,,0.7200,0.7300,0.2800,0.3000,17.76923077,33.60000000,30.0000,4.7215,22.2018,-3.0766
1780310478465,1,btc-updown-5m-1780310400,SELL,UP,10.15384615,0.7500,tvds_strong_grid_exit_step_3_0.75_zone_near_usd_23.73_pct_0.0327_vel_neutral,true,42.9929,221,26.33,72581.6102,0.396426,0.373927,-0.065920,,,,0.7500,0.7600,0.2500,0.2600,10.15384615,33.60000000,30.0000,10.2046,16.0154,-3.7800
1780310483120,1,btc-updown-5m-1780310400,BUY,DOWN,2.70480000,0.2300,dynamic_buy_weak_down_deviation_ok_atr_limit_0.24_vel_+0.31,true,42.9929,216,28.00,72582.4989,0.425886,0.310515,-0.026985,,,,0.7700,0.7800,0.2200,0.2300,0.00000000,33.60000000,30.0000,17.8200,7.3920,-4.7880
