timestamp,window_id,slug,status,spent,returned,pnl,close_spot,ptb,winner
1780394399985,1,btc-updown-5m-1780394100,CLOSED_TIME,25.5000,27.5875,2.0875,69322.1759,69296.6090,UP
1780394699985,2,btc-updown-5m-1780394400,CLOSED_TIME,25.5000,16.2250,-9.2750,69416.9404,69322.1784,UP
1780394999990,3,btc-updown-5m-1780394700,CLOSED_TIME,25.5000,19.3310,-6.1690,69532.6284,69416.5508,UP
1780395299986,4,btc-updown-5m-1780395000,CLOSED_TIME,25.5000,23.7500,-1.7500,69551.9682,69532.6284,UP
1780395599987,5,btc-updown-5m-1780395300,CLOSED_TIME,25.5000,27.4591,1.9591,69618.1155,69551.9682,UP
1780395899990,6,btc-updown-5m-1780395600,CLOSED_TIME,25.5000,20.0625,-5.4375,69437.0757,69618.1469,DOWN
1780396199993,7,btc-updown-5m-1780395900,CLOSED_TIME,25.5000,27.4375,1.9375,69532.9224,69435.3798,UP
1780396499992,8,btc-updown-5m-1780396200,CLOSED_TIME,25.5000,24.4375,-1.0625,69406.0029,69532.9223,DOWN
1780396799990,9,btc-updown-5m-1780396500,CLOSED_TIME,25.5000,23.8621,-1.6379,69391.3022,69405.9163,DOWN
1780397099993,10,btc-updown-5m-1780396800,CLOSED_TIME,25.5000,24.0534,-1.4466,69368.9716,69391.1806,DOWN
1780397399996,11,btc-updown-5m-1780397100,CLOSED_TIME,25.5000,27.5000,2.0000,69378.4134,69368.9185,UP
1780397699998,12,btc-updown-5m-1780397400,CLOSED_TIME,25.5000,19.5909,-5.9091,69558.0011,69380.0189,UP
1780397999999,13,btc-updown-5m-1780397700,CLOSED_TIME,30.0000,23.1383,-6.8617,69550.3193,69557.9845,DOWN
1780398299999,14,btc-updown-5m-1780398000,CLOSED_TIME,30.0000,31.9569,1.9569,69485.1075,69548.0809,DOWN
1780398599998,15,btc-updown-5m-1780398300,CLOSED_TIME,30.0000,19.0441,-10.9559,69500.3096,69484.7679,UP
1780398899003,16,btc-updown-5m-1780398600,CLOSED_TIME,30.0000,23.1176,-6.8824,69451.1925,69501.3750,DOWN
1780399199004,17,btc-updown-5m-1780398900,CLOSED_TIME,30.0000,26.7960,-3.2040,69350.2912,69451.3504,DOWN
1780399499004,18,btc-updown-5m-1780399200,CLOSED_TIME,30.0000,25.1162,-4.8838,69420.2710,69348.8419,UP
1780399799005,19,btc-updown-5m-1780399500,CLOSED_TIME,30.0000,32.6849,2.6849,69388.2402,69420.2131,DOWN
1780400399007,21,btc-updown-5m-1780400100,CLOSED_TIME,30.0000,32.2794,2.2794,69427.1099,69344.4232,UP
1780400699010,22,btc-updown-5m-1780400400,CLOSED_TIME,30.0000,25.1848,-4.8152,69382.8514,69427.2806,DOWN
1780400999011,23,btc-updown-5m-1780400700,CLOSED_TIME,30.0000,23.4559,-6.5441,69440.1354,69382.2470,UP
1780401299014,24,btc-updown-5m-1780401000,CLOSED_TIME,30.0000,41.8957,11.8957,69489.2028,69440.1485,UP
1780401599013,25,btc-updown-5m-1780401300,CLOSED_TIME,25.5000,28.7060,3.2060,69378.0929,69489.2040,DOWN
1780401899014,26,btc-updown-5m-1780401600,CLOSED_TIME,30.0000,23.3383,-6.6617,69408.8356,69366.4549,UP
1780402199016,27,btc-updown-5m-1780401900,CLOSED_TIME,25.5000,28.7680,3.2680,69374.6641,69400.4372,DOWN
1780402499019,28,btc-updown-5m-1780402200,CLOSED_TIME,25.5000,20.1875,-5.3125,69251.5459,69375.5073,DOWN
1780402799020,29,btc-updown-5m-1780402500,CLOSED_TIME,25.5000,20.1842,-5.3158,69147.8062,69251.8945,DOWN
1780403099020,30,btc-updown-5m-1780402800,CLOSED_TIME,21.6750,16.3585,-5.3165,69308.5458,69150.5325,UP
