timestamp,window_id,slug,action,side,amount,amount_kind,signal_shares,signal_usd_value,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,spent,returned,mtm,unrealized_pnl
1780394529654,1,btc-updown-15m-1780394400,SELL,DOWN,4.74734043,shares,4.74734043,2.9434,0.6200,tvds_strong_grid_exit_step_1_0.62_zone_moderate_usd_28.63_pct_0.0413_vel_neutral,true,59.1500,770,14.44,69293.5457,-0.382097,-0.807290,-0.409643,69322.1784,-28.6328,-0.041304,0.3800,0.3900,0.6200,0.6300,16.22727273,18.98936170,17.8500,0.0000,17.9398,0.0898
1780394537518,1,btc-updown-15m-1780394400,SELL,DOWN,4.74734043,shares,4.74734043,3.4181,0.7200,tvds_strong_grid_exit_step_2_0.72_zone_moderate_usd_55.66_pct_0.0803_vel_neutral,true,59.1500,762,15.33,69266.5179,-1.913228,-2.020077,0.591019,69322.1784,-55.6606,-0.080293,0.2800,0.2900,0.7200,0.7300,16.22727273,14.24202128,17.8500,2.9434,14.7979,-0.1088
1780394667157,1,btc-updown-15m-1780394400,SELL,UP,4.05681818,shares,4.05681818,2.5152,0.6200,tvds_strong_grid_exit_step_1_0.62_zone_near_usd_20.26_pct_0.0292_vel_neutral,true,59.1500,632,29.78,69342.4364,-0.062821,0.073578,0.082656,69322.1784,20.2579,0.029223,0.6200,0.6300,0.3800,0.3900,16.22727273,9.49468085,17.8500,6.3614,13.6689,2.1803
1780394670076,1,btc-updown-15m-1780394400,SELL,UP,12.17045455,shares,12.17045455,7.5457,0.6200,tvds_weak_exit_mid_moderate_take_30_bid_ge_0.30_zone_moderate_usd_25.76_pct_0.0372_vel_neutral,true,59.1500,629,30.11,69347.9364,0.363074,0.488219,0.316024,69322.1784,25.7579,0.037157,0.6200,0.6300,0.3800,0.3900,12.17045455,9.49468085,17.8500,8.8767,11.1537,2.1803
1780395348339,2,btc-updown-15m-1780395300,SELL,UP,5.64453125,shares,5.64453125,3.4996,0.6200,tvds_strong_grid_exit_step_1_0.62_zone_moderate_usd_33.99_pct_0.0489_vel_neutral,true,66.7143,851,5.44,69585.9626,0.042375,0.388191,-0.018188,69551.9682,33.9944,0.048876,0.6200,0.6300,0.3800,0.3900,22.57812500,20.06944444,21.6750,0.0000,21.6248,-0.0502
1780395569444,2,btc-updown-15m-1780395300,SELL,DOWN,20.06944444,shares,20.06944444,6.2215,0.3100,tvds_weak_exit_mid_moderate_take_30_bid_ge_0.30_zone_moderate_usd_48.86_pct_0.0703_vel_neutral,true,58.9071,630,30.00,69600.8309,1.344633,0.792092,0.039157,69551.9682,48.8627,0.070254,0.6900,0.7000,0.3100,0.3200,16.93359375,20.06944444,21.6750,3.4996,17.9057,-0.2697
1780395587992,2,btc-updown-15m-1780395300,SELL,UP,5.64453125,shares,5.64453125,4.0641,0.7200,tvds_strong_grid_exit_step_2_0.72_zone_moderate_usd_62.87_pct_0.0904_vel_neutral,true,58.9071,612,32.00,69614.8422,0.762698,0.704331,-0.060229,69551.9682,62.8740,0.090399,0.7200,0.7300,0.2800,0.2900,16.93359375,0.00000000,21.6750,9.7211,12.1922,0.2383
1780396155713,2,btc-updown-15m-1780395300,SELL,UP,11.28906250,shares,11.28906250,2.2578,0.2000,emergency_15pct_time_stop_bid_ge_0.20,true,47.4214,44,95.11,69525.5483,1.488116,1.162438,-0.111025,69551.9682,-26.4198,-0.037986,0.2000,0.2100,0.8000,0.8100,11.28906250,0.00000000,21.6750,13.7852,2.2578,-5.6320
1780396403227,3,btc-updown-15m-1780396200,SELL,DOWN,6.25000000,shares,6.25000000,3.8750,0.6200,tvds_strong_grid_exit_step_1_0.62_zone_near_usd_21.55_pct_0.0310_vel_neutral,true,47.9500,696,22.67,69511.3700,-1.355143,-1.088251,0.086110,69532.9223,-21.5523,-0.030996,0.3700,0.3800,0.6200,0.6300,25.00000000,25.00000000,25.5000,0.0000,24.7500,-0.7500
1780396418403,3,btc-updown-15m-1780396200,SELL,DOWN,6.25000000,shares,6.25000000,4.5000,0.7200,tvds_strong_grid_exit_step_2_0.72_zone_moderate_usd_46.62_pct_0.0670_vel_neutral,true,47.9500,681,24.33,69486.3044,-1.462132,-1.325420,0.079049,69532.9223,-46.6179,-0.067044,0.2800,0.2900,0.7200,0.7300,25.00000000,18.75000000,25.5000,3.8750,20.5000,-1.1250
1780396430848,3,btc-updown-15m-1780396200,SELL,DOWN,3.75000000,shares,3.75000000,2.8875,0.7700,tvds_strong_grid_exit_step_3_0.75_zone_moderate_usd_56.89_pct_0.0818_vel_neutral,true,47.9500,669,25.67,69476.0347,-0.962024,-0.817637,0.048418,69532.9223,-56.8876,-0.081814,0.2200,0.2300,0.7700,0.7800,25.00000000,12.50000000,25.5000,8.3750,15.1250,-2.0000
1780397109236,4,btc-updown-15m-1780397100,SELL,UP,4.05681818,shares,4.05681818,2.5152,0.6200,tvds_strong_grid_exit_step_1_0.62_zone_moderate_usd_35.60_pct_0.0513_vel_neutral,true,47.1571,890,1.11,69404.5154,0.954864,2.198068,-0.075399,69368.9185,35.5969,0.051315,0.6200,0.6300,0.3800,0.3900,16.22727273,18.98936170,17.8500,0.0000,17.2769,-0.5731
1780397409498,4,btc-updown-15m-1780397100,SELL,DOWN,18.98936170,shares,18.98936170,6.8362,0.3600,tvds_weak_exit_mid_moderate_take_30_bid_ge_0.30_zone_moderate_usd_27.28_pct_0.0393_vel_neutral,true,39.1786,590,34.44,69396.1938,0.950935,1.382489,0.213951,69368.9185,27.2753,0.039319,0.6300,0.6400,0.3600,0.3800,12.17045455,18.98936170,17.8500,2.5152,14.5036,-0.8312
1780397464164,4,btc-updown-15m-1780397100,SELL,UP,4.05681818,shares,4.05681818,2.9209,0.7200,tvds_strong_grid_exit_step_2_0.72_zone_moderate_usd_42.76_pct_0.0616_vel_neutral,true,38.9357,535,40.56,69411.6755,0.369002,0.500274,0.252140,69368.9185,42.7569,0.061637,0.7200,0.7300,0.2700,0.2900,12.17045455,0.00000000,17.8500,9.3514,8.7627,0.2641
