timestamp,window_id,slug,event,status_before,current_atr,spot_price,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask
1781820299878,1,btc-updown-5m-1781820300,promote_skipped,WAITING_ENTRY,30.4857,62851.9284,,,,0.5200,0.5400,0.4800,0.4900
1781820599881,2,btc-updown-5m-1781820600,promote_skipped,WAITING_ENTRY,27.9786,62857.7495,,,,0.4900,0.5100,0.5000,0.5100
1781820899884,3,btc-updown-5m-1781820900,promote_skipped,WAITING_ENTRY,24.5000,62855.4005,,,,0.4900,0.5000,0.5100,0.5200
1781821199886,4,btc-updown-5m-1781821200,promote_skipped,WAITING_ENTRY,23.7357,62741.4774,,,,0.5500,0.5600,0.4500,0.4600
1781821499885,5,btc-updown-5m-1781821500,promote_skipped,WAITING_ENTRY,33.7571,62773.9776,,,,0.5000,0.5200,0.4900,0.5000
1781821799887,6,btc-updown-5m-1781821800,promote_skipped,WAITING_ENTRY,35.5143,62770.9731,,,,0.5000,0.5100,0.5000,0.5100
1781822099893,7,btc-updown-5m-1781822100,promote_skipped,WAITING_ENTRY,33.5500,62690.3839,,,,0.5400,0.5500,0.4600,0.4700
1781822399899,8,btc-updown-5m-1781822400,promote_skipped,WAITING_ENTRY,29.6286,62743.1152,,,,0.4900,0.5300,0.5000,0.5100
1781822699895,9,btc-updown-5m-1781822700,promote_skipped,WAITING_ENTRY,25.2929,62746.6603,,,,0.5000,0.5100,0.5000,0.5100
1781822999896,10,btc-updown-5m-1781823000,promote_skipped,WAITING_ENTRY,21.6286,62802.3742,,,,0.4800,0.4900,0.5100,0.5200
1781823299899,11,btc-updown-5m-1781823300,promote_skipped,WAITING_ENTRY,26.5000,62789.6559,,,,0.4900,0.5000,0.5100,0.5200
1781823599900,12,btc-updown-5m-1781823600,promote_skipped,WAITING_ENTRY,27.5929,62822.1590,,,,0.4700,0.4900,0.5300,0.5400
1781823899903,13,btc-updown-5m-1781823900,promote_skipped,WAITING_ENTRY,28.5214,62819.2760,,,,0.4900,0.5100,0.5100,0.5200
1781824199915,14,btc-updown-5m-1781824200,promote_skipped,WAITING_ENTRY,30.9286,62749.7775,,,,0.4800,0.5200,0.4800,0.5200
1781824499907,15,btc-updown-5m-1781824500,promote_skipped,WAITING_ENTRY,38.3643,62696.7282,,,,0.5200,0.5300,0.4700,0.4800
1781824799908,16,btc-updown-5m-1781824800,promote_skipped,WAITING_ENTRY,34.2786,62757.6973,,,,0.6300,0.6400,0.3700,0.3800
1781825099912,17,btc-updown-5m-1781825100,promote_skipped,WAITING_ENTRY,27.2786,62769.9303,,,,0.2000,0.2200,0.7900,0.8000
1781825399912,18,btc-updown-5m-1781825400,promote_skipped,WAITING_ENTRY,21.9357,62808.6296,,,,0.5100,0.5200,0.4800,0.5200
1781825699914,19,btc-updown-5m-1781825700,promote_skipped,WAITING_ENTRY,26.5500,62844.7866,,,,0.5100,0.5200,0.4900,0.5000
1781825999916,20,btc-updown-5m-1781826000,promote_skipped,WAITING_ENTRY,24.1857,62845.6526,,,,0.4800,0.4900,0.5100,0.5200
1781826299917,21,btc-updown-5m-1781826300,promote_skipped,WAITING_ENTRY,22.8929,62846.3176,,,,0.4700,0.4800,0.5200,0.5300
1781826599920,22,btc-updown-5m-1781826600,promote_skipped,WAITING_ENTRY,24.2286,62851.5700,,,,0.4900,0.5000,0.5100,0.5200
1781826899922,23,btc-updown-5m-1781826900,promote_skipped,WAITING_ENTRY,28.5214,62881.2559,,,,0.4900,0.5000,0.5100,0.5300
1781827199923,24,btc-updown-5m-1781827200,promote_skipped,WAITING_ENTRY,31.2071,62888.9223,,,,0.4600,0.4700,0.5400,0.5500
1781827499925,25,btc-updown-5m-1781827500,promote_skipped,WAITING_ENTRY,25.0500,62905.0299,,,,0.3400,0.3600,0.6600,0.6700
1781827799927,26,btc-updown-5m-1781827800,promote_skipped,WAITING_ENTRY,35.7286,62824.0350,,,,0.5400,0.5500,0.4600,0.4700
1781828099929,27,btc-updown-5m-1781828100,promote_skipped,WAITING_ENTRY,41.2571,62791.7627,,,,0.5300,0.5400,0.4700,0.4800
1781828399931,28,btc-updown-5m-1781828400,promote_skipped,WAITING_ENTRY,37.2786,62908.5142,,,,0.4800,0.4900,0.5200,0.5300
1781828699932,29,btc-updown-5m-1781828700,promote_skipped,WAITING_ENTRY,37.1500,62889.6883,,,,0.4900,0.5000,0.5100,0.5200
1781828999934,30,btc-updown-5m-1781829000,promote_skipped,WAITING_ENTRY,34.6643,62895.5796,,,,0.3200,0.3300,0.6700,0.6800
1781829299935,31,btc-updown-5m-1781829300,promote_skipped,WAITING_ENTRY,33.5786,62957.1609,,,,0.5000,0.5100,0.5000,0.5200
1781829599937,32,btc-updown-5m-1781829600,promote_skipped,WAITING_ENTRY,27.6786,62937.1129,,,,0.4900,0.5000,0.5000,0.5200
1781829899939,33,btc-updown-5m-1781829900,promote_skipped,WAITING_ENTRY,25.1857,62983.6943,,,,0.4800,0.4900,0.5100,0.5200
1781830199941,34,btc-updown-5m-1781830200,promote_skipped,WAITING_ENTRY,24.9286,62999.4782,,,,0.4800,0.4900,0.5200,0.5300
1781830499944,35,btc-updown-5m-1781830500,promote_skipped,WAITING_ENTRY,28.4286,62941.9953,,,,0.5100,0.5200,0.4900,0.5000
1781830799944,36,btc-updown-5m-1781830800,promote_skipped,WAITING_ENTRY,28.5143,62952.5357,,,,0.3600,0.3700,0.6400,0.6500
1781831099947,37,btc-updown-5m-1781831100,promote_skipped,WAITING_ENTRY,28.8357,63005.1872,,,,0.4600,0.4700,0.5400,0.5500
1781831399949,38,btc-updown-5m-1781831400,promote_skipped,WAITING_ENTRY,29.9357,62902.4183,,,,0.5100,0.5200,0.4900,0.5000
1781831699951,39,btc-updown-5m-1781831700,promote_skipped,WAITING_ENTRY,35.1857,62908.1891,,,,0.3200,0.3300,0.6800,0.6900
1781831999955,40,btc-updown-5m-1781832000,promote_skipped,WAITING_ENTRY,39.8571,62980.9849,,,,0.4900,0.5000,0.5000,0.5200
1781832299954,41,btc-updown-5m-1781832300,promote_skipped,WAITING_ENTRY,36.2714,62964.7330,,,,0.4900,0.5000,0.5100,0.5300
1781832599957,42,btc-updown-5m-1781832600,promote_skipped,WAITING_ENTRY,35.1786,62862.8910,,,,0.5200,0.5300,0.4800,0.5000
1781832899960,43,btc-updown-5m-1781832900,promote_skipped,WAITING_ENTRY,33.5429,62798.4496,,,,0.5500,0.5600,0.4500,0.4600
1781833199960,44,btc-updown-5m-1781833200,promote_skipped,WAITING_ENTRY,31.7714,62819.6696,,,,0.5200,0.5300,0.4800,0.4900
1781833499963,45,btc-updown-5m-1781833500,promote_skipped,WAITING_ENTRY,29.6714,62850.1860,,,,0.5100,0.5200,0.4900,0.5000
1781833799961,46,btc-updown-5m-1781833800,promote_skipped,WAITING_ENTRY,21.7643,62862.6379,,,,0.4900,0.5000,0.5100,0.5200
1781834099967,47,btc-updown-5m-1781834100,promote_skipped,WAITING_ENTRY,22.5857,62933.9919,,,,0.4700,0.4900,0.5300,0.5400
1781834399965,48,btc-updown-5m-1781834400,promote_skipped,WAITING_ENTRY,20.9571,62957.4476,,,,0.4900,0.5000,0.5100,0.5200
1781834699970,49,btc-updown-5m-1781834700,promote_skipped,WAITING_ENTRY,23.9786,63024.9175,,,,0.4400,0.4600,0.5600,0.5700
1781835502180,50,btc-updown-5m-1781835000,promote_skipped,WAITING_ENTRY,25.1286,62973.3407,,,,0.4900,0.5000,0.5100,0.5200
1781835503180,51,btc-updown-5m-1781835300,promote_skipped,WAITING_ENTRY,25.1286,62973.3407,,,,0.3100,0.3200,0.6800,0.6900
1781836536056,52,btc-updown-5m-1781835600,promote_skipped,WAITING_ENTRY,25.1286,62929.7867,,,,0.5000,0.5100,0.5000,0.5100
1781836537057,53,btc-updown-5m-1781836200,promote_skipped,WAITING_ENTRY,25.1286,62929.7867,,,,0.9900,0.0000,0.0000,0.0100
1781836538057,54,btc-updown-5m-1781836500,promote_skipped,WAITING_ENTRY,25.1286,62929.7867,,,,0.6800,0.6900,0.3200,0.3300
1781836799056,55,btc-updown-5m-1781836800,promote_skipped,WAITING_ENTRY,35.1071,62864.8257,,,,0.5300,0.5400,0.4700,0.4800
1781837099056,56,btc-updown-5m-1781837100,promote_skipped,WAITING_ENTRY,27.5643,62874.6944,,,,0.5200,0.5300,0.4800,0.4900
1781837399056,57,btc-updown-5m-1781837400,promote_skipped,WAITING_ENTRY,25.6857,62869.9055,,,,0.5100,0.5200,0.4800,0.4900
1781837699058,58,btc-updown-5m-1781837700,promote_skipped,WAITING_ENTRY,26.7929,62918.4353,,,,0.5200,0.5300,0.4800,0.4900
1781838731022,59,btc-updown-5m-1781838000,promote_skipped,WAITING_ENTRY,27.7857,62927.8914,,,,0.5100,0.5200,0.4900,0.5000
1781838732021,60,btc-updown-5m-1781838300,promote_skipped,WAITING_ENTRY,27.7857,62927.8914,,,,0.0000,0.0000,0.0000,0.0000
1781838733019,61,btc-updown-5m-1781838600,promote_skipped,WAITING_ENTRY,27.7857,62927.8914,,,,0.1800,0.1900,0.8200,0.8300
1781839797337,62,btc-updown-5m-1781838900,promote_skipped,WAITING_ENTRY,27.7857,62742.7097,,,,0.5200,0.5300,0.4800,0.4900
1781839798158,63,btc-updown-5m-1781839200,promote_skipped,WAITING_ENTRY,27.7857,62742.7097,62455.6800,287.0298,0.459574,0.0000,0.0000,0.0000,0.0000
1781839799158,64,btc-updown-5m-1781839500,promote_skipped,WAITING_ENTRY,27.7857,62742.7097,,,,0.1200,0.1300,0.8700,0.8800
1781839800158,65,btc-updown-5m-1781839800,promote_skipped,WAITING_ENTRY,27.7857,62742.7097,,,,0.4800,0.5000,0.5100,0.5200
1781840248797,66,btc-updown-5m-1781840100,promote_skipped,WAITING_ENTRY,85.6071,62744.9680,,,,0.5100,0.5200,0.4900,0.5000
1781840399689,67,btc-updown-5m-1781840400,promote_skipped,WAITING_ENTRY,44.1000,62572.7644,,,,0.5000,0.5200,0.4800,0.5000
1781840699689,68,btc-updown-5m-1781840700,promote_skipped,WAITING_ENTRY,41.2143,62629.5824,,,,0.5300,0.5400,0.4700,0.4800
1781840999690,69,btc-updown-5m-1781841000,promote_skipped,WAITING_ENTRY,43.0714,62600.8956,,,,0.5100,0.5200,0.4900,0.5000
1781841299690,70,btc-updown-5m-1781841300,promote_skipped,WAITING_ENTRY,39.7714,62694.0246,,,,0.5000,0.5100,0.5000,0.5100
1781841599690,71,btc-updown-5m-1781841600,promote_skipped,WAITING_ENTRY,35.8286,62705.5138,,,,0.5000,0.5100,0.5000,0.5100
1781841899690,72,btc-updown-5m-1781841900,promote_skipped,WAITING_ENTRY,42.4214,62571.8347,,,,0.5100,0.5200,0.4900,0.5000
1781842199693,73,btc-updown-5m-1781842200,promote_skipped,WAITING_ENTRY,44.3857,62713.7285,,,,0.5100,0.5200,0.4800,0.4900
1781842499693,74,btc-updown-5m-1781842500,promote_skipped,WAITING_ENTRY,43.4214,62801.4992,,,,0.5000,0.5100,0.4900,0.5000
1781842799695,75,btc-updown-5m-1781842800,promote_skipped,WAITING_ENTRY,38.3143,62714.4004,,,,0.5000,0.5100,0.4900,0.5000
1781843099695,76,btc-updown-5m-1781843100,promote_skipped,WAITING_ENTRY,33.2643,62707.2703,,,,0.5000,0.5100,0.4900,0.5000
1781843399695,77,btc-updown-5m-1781843400,promote_skipped,WAITING_ENTRY,36.8357,62663.3248,,,,0.5000,0.5100,0.4900,0.5000
1781843699695,78,btc-updown-5m-1781843700,promote_skipped,WAITING_ENTRY,35.2714,62496.7809,,,,0.5400,0.5500,0.4500,0.4600
1781843999695,79,btc-updown-5m-1781844000,promote_skipped,WAITING_ENTRY,40.8643,62498.1591,,,,0.5200,0.5300,0.4800,0.4900
1781844299696,80,btc-updown-5m-1781844300,promote_skipped,WAITING_ENTRY,40.3714,62548.0531,,,,0.5200,0.5400,0.4800,0.4900
1781844599697,81,btc-updown-5m-1781844600,promote_skipped,WAITING_ENTRY,29.4857,62595.2274,,,,0.5100,0.5200,0.5000,0.5100
1781844899698,82,btc-updown-5m-1781844900,promote_skipped,WAITING_ENTRY,38.7429,62452.6085,,,,0.5400,0.5500,0.4600,0.4700
1781845199700,83,btc-updown-5m-1781845200,promote_skipped,WAITING_ENTRY,45.4571,62389.0962,,,,0.5200,0.5300,0.4800,0.4900
1781845499702,84,btc-updown-5m-1781845500,promote_skipped,WAITING_ENTRY,53.2357,62537.5699,,,,0.5000,0.5100,0.4900,0.5000
1781845799702,85,btc-updown-5m-1781845800,promote_skipped,WAITING_ENTRY,43.2214,62604.7490,,,,0.5000,0.5100,0.4900,0.5000
1781846099702,86,btc-updown-5m-1781846100,promote_skipped,WAITING_ENTRY,34.8214,62606.5048,,,,0.5000,0.5100,0.5000,0.5100
1781846399702,87,btc-updown-5m-1781846400,promote_skipped,WAITING_ENTRY,30.2429,62548.2198,,,,0.5200,0.5300,0.4800,0.4900
1781846699706,88,btc-updown-5m-1781846700,promote_skipped,WAITING_ENTRY,37.1429,62543.6406,,,,0.5100,0.5200,0.4900,0.5000
1781846999707,89,btc-updown-5m-1781847000,promote_skipped,WAITING_ENTRY,38.5857,62553.6079,,,,0.4900,0.5000,0.5100,0.5200
1781847299710,90,btc-updown-5m-1781847300,promote_skipped,WAITING_ENTRY,40.9286,62523.6666,,,,0.5100,0.5200,0.4900,0.5000
1781847599709,91,btc-updown-5m-1781847600,promote_skipped,WAITING_ENTRY,40.1000,62538.6264,,,,0.5100,0.5200,0.4900,0.5000
1781847899713,92,btc-updown-5m-1781847900,promote_skipped,WAITING_ENTRY,39.7143,62589.1609,,,,0.4900,0.5000,0.5100,0.5200
1781848199714,93,btc-updown-5m-1781848200,promote_skipped,WAITING_ENTRY,30.2786,62651.2560,,,,0.4600,0.4700,0.5400,0.5500
1781848499714,94,btc-updown-5m-1781848500,promote_skipped,WAITING_ENTRY,26.5429,62670.8769,,,,0.4600,0.4700,0.5400,0.5500
1781848799716,95,btc-updown-5m-1781848800,promote_skipped,WAITING_ENTRY,21.8071,62676.4693,,,,0.4800,0.4900,0.5200,0.5300
1781849099719,96,btc-updown-5m-1781849100,promote_skipped,WAITING_ENTRY,25.8143,62767.1013,,,,0.4700,0.4800,0.5300,0.5400
1781849399719,97,btc-updown-5m-1781849400,promote_skipped,WAITING_ENTRY,26.1714,62760.6064,,,,0.5000,0.5100,0.4900,0.5000
1781849699721,98,btc-updown-5m-1781849700,promote_skipped,WAITING_ENTRY,33.8357,62787.2384,,,,0.4900,0.5100,0.5100,0.5200
1781849999722,99,btc-updown-5m-1781850000,promote_skipped,WAITING_ENTRY,33.9071,62724.8847,,,,0.5000,0.5100,0.5000,0.5100
1781850299724,100,btc-updown-5m-1781850300,promote_skipped,WAITING_ENTRY,32.1929,62763.6972,,,,0.5100,0.5200,0.4900,0.5000
1781850599723,101,btc-updown-5m-1781850600,promote_skipped,WAITING_ENTRY,27.8286,62777.3369,,,,0.4700,0.4800,0.5300,0.5400
1781850899724,102,btc-updown-5m-1781850900,promote_skipped,WAITING_ENTRY,26.6286,62768.8897,,,,0.5100,0.5200,0.4900,0.5000
1781851199729,103,btc-updown-5m-1781851200,promote_skipped,WAITING_ENTRY,24.9643,62679.2884,,,,0.4800,0.4900,0.5100,0.5300
1781851499727,104,btc-updown-5m-1781851500,promote_skipped,WAITING_ENTRY,27.8429,62764.0137,,,,0.4700,0.4900,0.5300,0.5400
1781851799730,105,btc-updown-5m-1781851800,promote_skipped,WAITING_ENTRY,25.9143,62731.6880,,,,0.5300,0.5400,0.4700,0.4800
1781852099732,106,btc-updown-5m-1781852100,promote_skipped,WAITING_ENTRY,27.5714,62817.1280,,,,0.5300,0.5400,0.4700,0.4800
1781852399732,107,btc-updown-5m-1781852400,promote_skipped,WAITING_ENTRY,28.4071,62834.3025,,,,0.4500,0.4700,0.5400,0.5500
1781852699734,108,btc-updown-5m-1781852700,promote_skipped,WAITING_ENTRY,29.0714,62785.0985,,,,0.5000,0.5100,0.5000,0.5100
1781852999735,109,btc-updown-5m-1781853000,promote_skipped,WAITING_ENTRY,28.6357,62792.9490,,,,0.4900,0.5000,0.5000,0.5100
1781853299737,110,btc-updown-5m-1781853300,promote_skipped,WAITING_ENTRY,25.6571,62719.9565,,,,0.5400,0.5500,0.4600,0.4800
1781853599740,111,btc-updown-5m-1781853600,promote_skipped,WAITING_ENTRY,32.9857,62668.3060,,,,0.5500,0.5600,0.4500,0.4600
1781853899740,112,btc-updown-5m-1781853900,promote_skipped,WAITING_ENTRY,34.2643,62709.2572,,,,0.5100,0.5200,0.4900,0.5000
1781854199743,113,btc-updown-5m-1781854200,promote_skipped,WAITING_ENTRY,36.5000,62680.0099,,,,0.4900,0.5000,0.5100,0.5200
1781854499743,114,btc-updown-5m-1781854500,promote_skipped,WAITING_ENTRY,41.1357,62615.1979,,,,0.5700,0.5800,0.4300,0.4400
