timestamp,window_id,slug,cross_count,significant_cross_count,final_side,last_cross_atr
1781248799133,0,btc-updown-5m-1781248500,15,3,UP,35.25000000000052
1781249099134,1,btc-updown-5m-1781248800,6,3,UP,35.25000000000052
1781249399136,2,btc-updown-5m-1781249100,0,0,DOWN,35.25000000000052
1781249699138,3,btc-updown-5m-1781249400,16,6,DOWN,35.50000000000052
1781249999142,4,btc-updown-5m-1781249700,20,6,UP,33.05000000000083
1781250299140,5,btc-updown-5m-1781250000,31,8,DOWN,39.13571428571543
1781250599143,6,btc-updown-5m-1781250300,12,4,DOWN,34.21428571428727
1781250899145,7,btc-updown-5m-1781250600,0,0,DOWN,31.628571428573196
1781251199144,8,btc-updown-5m-1781250900,0,0,UP,19.928571428572987
