timestamp,window_id,slug,status,spent,returned,pnl,close_spot,ptb,winner
1780596899450,1,btc-updown-5m-1780596600,CLOSED_TIME,3.0000,5.5680,2.5680,63079.4299,63204.2130,DOWN
1780597199452,2,btc-updown-5m-1780596900,CLOSED_TIME,3.0000,5.8702,2.8702,63309.2916,63081.3159,UP
1780597499453,3,btc-updown-5m-1780597200,CLOSED_TIME,4.0912,5.3247,1.2335,63530.0849,63306.7052,UP
1780597799657,4,btc-updown-5m-1780597500,CLOSED_TIME,4.0912,5.7647,1.6735,63802.1747,63520.9556,UP
1780598099454,5,btc-updown-5m-1780597800,CLOSED_TIME,4.1340,5.4960,1.3620,63746.3116,63810.4956,DOWN
1780598399463,6,btc-updown-5m-1780598100,CLOSED_TIME,3.0000,5.4447,2.4447,63881.0361,63763.4813,UP
1780598699454,7,btc-updown-5m-1780598400,CLOSED_TIME,3.0000,2.3500,-0.6500,63853.6052,63874.3187,DOWN
1780598999464,8,btc-updown-5m-1780598700,CLOSED_TIME,3.0000,0.9294,-2.0706,63929.4233,63842.9767,UP
1780599299458,9,btc-updown-5m-1780599000,CLOSED_TIME,3.0000,0.7765,-2.2235,63857.6235,63931.3479,DOWN
1780599599469,10,btc-updown-5m-1780599300,CLOSED_TIME,4.1340,5.4792,1.3452,63741.6665,63850.9890,DOWN
1780599899459,11,btc-updown-5m-1780599600,CLOSED_TIME,4.0938,2.1875,-1.9062,63630.5933,63740.0671,DOWN
1780600199460,12,btc-updown-5m-1780599900,CLOSED_TIME,4.0912,5.2447,1.1535,63604.8303,63630.5920,DOWN
1780600499462,13,btc-updown-5m-1780600200,CLOSED_TIME,3.0000,0.8824,-2.1176,63799.3479,63603.2503,UP
1780600799463,14,btc-updown-5m-1780600500,CLOSED_TIME,3.0000,0.0000,-3.0000,63894.4303,63801.0664,UP
1780601099463,15,btc-updown-5m-1780600800,CLOSED_TIME,4.0706,4.4706,0.4000,63932.3588,63893.2640,UP
1780601399473,16,btc-updown-5m-1780601100,CLOSED_TIME,3.0000,5.4094,2.4094,64039.3656,63932.9263,UP
1780601699465,17,btc-updown-5m-1780601400,CLOSED_TIME,3.0000,0.0000,-3.0000,63862.2814,64039.0569,DOWN
1780601999467,18,btc-updown-5m-1780601700,CLOSED_TIME,3.0000,5.5600,2.5600,63862.2808,63872.7898,DOWN
1780602299467,19,btc-updown-5m-1780602000,CLOSED_TIME,3.0000,5.3859,2.3859,63709.4138,63865.5267,DOWN
1780602599467,20,btc-updown-5m-1780602300,CLOSED_TIME,3.0000,1.8235,-1.1765,63641.2363,63700.9019,DOWN
1780602899470,21,btc-updown-5m-1780602600,CLOSED_TIME,4.0920,5.4792,1.3872,63563.3387,63639.9356,DOWN
1780603199468,22,btc-updown-5m-1780602900,CLOSED_TIME,3.0000,1.6680,-1.3320,63543.1127,63565.0042,DOWN
1780603499471,23,btc-updown-5m-1780603200,CLOSED_TIME,3.0000,0.0000,-3.0000,63327.1268,63542.7419,DOWN
1780603799472,24,btc-updown-5m-1780603500,CLOSED_TIME,3.0000,5.5959,2.5959,63277.8783,63318.5587,DOWN
1780604099475,25,btc-updown-5m-1780603800,CLOSED_TIME,3.0000,0.0000,-3.0000,63437.3616,63277.8067,UP
1780604399475,26,btc-updown-5m-1780604100,CLOSED_TIME,3.0000,5.4259,2.4259,63298.8120,63432.2709,DOWN
1780604699474,27,btc-updown-5m-1780604400,CLOSED_TIME,4.0912,5.5529,1.4618,63254.6450,63298.9629,DOWN
1780604999475,28,btc-updown-5m-1780604700,CLOSED_TIME,3.0000,2.7792,-0.2208,63262.9914,63260.3273,UP
1780605299476,29,btc-updown-5m-1780605000,CLOSED_TIME,3.0000,0.0000,-3.0000,63479.8151,63264.1517,UP
1780605599477,30,btc-updown-5m-1780605300,CLOSED_TIME,3.0000,0.0000,-3.0000,63440.8358,63479.7387,DOWN
1780605899478,31,btc-updown-5m-1780605600,CLOSED_TIME,3.0000,5.7552,2.7552,63501.0680,63440.8395,UP
1780606199478,32,btc-updown-5m-1780605900,CLOSED_TIME,4.0588,2.9765,-1.0824,63477.4884,63495.8606,DOWN
1780606499477,33,btc-updown-5m-1780606200,CLOSED_TIME,4.0706,2.9176,-1.1529,63503.6150,63474.2212,UP
