timestamp,window_id,slug,reason,entry_mode,entry_side,current_atr,up_ask,down_ask,budget_multiplier,cheaper_side_ratio,total_budget,buy_up_usd,buy_up_shares,buy_down_usd,buy_down_shares
1780528414073,2,btc-updown-15m-1780528500,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.070_discount_req_0.035_combined_1.03_atr_137.21_atr_regime_storm_budget_mult_0.10,one_side,DOWN,137.2071,0.5500,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
1780531979096,6,btc-updown-15m-1780532100,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.030_discount_req_0.035_combined_1.03_atr_105.33_atr_regime_storm_budget_mult_0.10,one_side,DOWN,105.3286,0.5300,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780532881095,7,btc-updown-15m-1780533000,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.070_discount_req_0.035_combined_1.03_atr_128.74_atr_regime_storm_budget_mult_0.10,one_side,DOWN,128.7429,0.5500,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
1780533835095,8,btc-updown-15m-1780533900,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.060_discount_req_0.035_combined_1.02_atr_184.54_atr_regime_storm_budget_mult_0.10,one_side,DOWN,184.5429,0.5400,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
1780534679099,9,btc-updown-15m-1780534800,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.060_discount_req_0.035_combined_1.02_atr_162.51_atr_regime_storm_budget_mult_0.10,one_side,DOWN,162.5071,0.5400,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
1780535583097,10,btc-updown-15m-1780535700,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.060_discount_req_0.035_combined_1.02_atr_122.56_atr_regime_storm_budget_mult_0.10,one_side,DOWN,122.5643,0.5400,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
1780537400094,12,btc-updown-15m-1780537500,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_124.84_atr_regime_storm_budget_mult_0.10,one_side,DOWN,124.8429,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780538297097,13,btc-updown-15m-1780538400,d1_one_leg_down_ask_0.49_fair_0.500_edge_+0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.040_discount_req_0.035_combined_1.02_atr_133.81_atr_regime_storm_budget_mult_0.10,one_side,DOWN,133.8143,0.5300,0.4900,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.12244898
1780539181093,14,btc-updown-15m-1780539300,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_254.61_atr_regime_storm_budget_mult_0.10,one_side,DOWN,254.6071,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780540080091,15,btc-updown-15m-1780540200,d1_one_leg_up_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_182.66_atr_regime_storm_budget_mult_0.10,one_side,UP,182.6571,0.5000,0.5200,0.1000,0.5000,3.0000,3.0000,6.00000000,0.0000,0.00000000
1780541887093,17,btc-updown-15m-1780542000,d1_one_leg_up_ask_0.49_fair_0.500_edge_+0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.040_discount_req_0.035_combined_1.02_atr_105.99_atr_regime_storm_budget_mult_0.10,one_side,UP,105.9929,0.4900,0.5300,0.1000,0.5000,3.0000,3.0000,6.12244898,0.0000,0.00000000
