timestamp,window_id,slug,action,side,amount,amount_kind,signal_shares,signal_usd_value,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,paired_shares,spent,returned,terminal_floor,terminal_floor_gap,mtm,unrealized_pnl
1781830779140,1,btc-updown-5m-1781830500,BUY,DOWN,49.47249745,usd,61.49777464,49.4725,0.8045,j_rescue_taker_down_fill_0.80_ask_0.81_gap_z_-1.07_phase_rescue_pnl_proj_+0.00_tape_$83/20_xc0,true,27.4357,20,93.33,62925.6365,-0.109964,-0.080810,0.002809,62942.6433,-17.0068,-0.027020,0.2000,0.2100,0.8000,0.8100,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781830779157,1,btc-updown-5m-1781830500,BUY,DOWN,49.47249745,usd,61.42567587,49.4725,0.8054,j_rescue_taker_down_fill_0.81_ask_0.81_gap_z_-1.07_phase_rescue_pnl_proj_+12.03_tape_$88/21_xc0,true,27.4357,20,93.33,62925.6365,-0.109964,-0.080810,0.002809,62942.6433,-17.0068,-0.027020,0.2000,0.2100,0.8000,0.8100,0.00000000,61.49777464,0.00000000,49.4725,0.0000,0.0000,-49.4725,49.1982,-0.2743
1781830779260,1,btc-updown-5m-1781830500,BUY,DOWN,49.47249745,usd,61.42567587,49.4725,0.8054,j_rescue_taker_down_fill_0.81_ask_0.81_gap_z_-1.07_phase_rescue_pnl_proj_+23.98_tape_$88/21_xc0,true,27.4357,20,93.33,62925.6365,-0.109964,-0.080810,0.002809,62942.6433,-17.0068,-0.027020,0.2000,0.2100,0.8000,0.8100,0.00000000,122.92345051,0.00000000,98.9450,0.0000,0.0000,-98.9450,98.3388,-0.6062
1781830779281,1,btc-updown-5m-1781830500,BUY,DOWN,49.47249745,usd,61.58370056,49.4725,0.8033,j_rescue_taker_down_fill_0.80_ask_0.81_gap_z_-1.07_phase_rescue_pnl_proj_+35.93_tape_$98/22_xc0,true,27.4357,20,93.33,62925.6365,-0.109964,-0.080810,0.002809,62942.6433,-17.0068,-0.027020,0.2000,0.2100,0.8000,0.8100,0.00000000,184.34912638,0.00000000,148.4175,0.0000,0.0000,-148.4175,147.4793,-0.9382
1781830779325,1,btc-updown-5m-1781830500,BUY,DOWN,49.71334095,usd,61.88103821,49.7133,0.8034,j_rescue_taker_down_fill_0.80_ask_0.81_gap_z_-1.08_phase_rescue_pnl_proj_+48.04_tape_$96/21_xc0,true,27.4357,20,93.33,62925.5666,-0.113952,-0.079941,0.000869,62942.6433,-17.0768,-0.027131,0.2000,0.2100,0.8000,0.8100,0.00000000,245.93282694,0.00000000,197.8900,0.0000,0.0000,-197.8900,196.7463,-1.1437
1781830779325,1,btc-updown-5m-1781830500,BUY,DOWN,49.71334095,usd,62.14167618,49.7133,0.8000,j_rescue_taker_down_fill_0.80_ask_0.80_gap_z_-1.08_phase_rescue_pnl_proj_+60.21_tape_$96/21_xc0,true,27.4357,20,93.33,62925.5666,-0.113952,-0.079941,0.000869,62942.6433,-17.0768,-0.027131,0.2000,0.2100,0.7900,0.8000,0.00000000,307.81386514,0.00000000,247.6033,0.0000,0.0000,-247.6033,243.1730,-4.4304
1781830779342,1,btc-updown-5m-1781830500,BUY,DOWN,49.71334095,usd,62.14167618,49.7133,0.8000,j_rescue_taker_down_fill_0.80_ask_0.81_gap_z_-1.08_phase_rescue_pnl_proj_+85.07_tape_$97/22_xc0,true,27.4357,20,93.33,62925.5666,-0.113952,-0.079941,0.000869,62942.6433,-17.0768,-0.027131,0.2000,0.2100,0.8000,0.8100,0.00000000,432.09721751,0.00000000,347.0300,0.0000,0.0000,-347.0300,345.6778,-1.3522
1781830779673,1,btc-updown-5m-1781830500,BUY,DOWN,49.71334095,usd,62.14167618,49.7133,0.8000,j_rescue_taker_down_fill_0.80_ask_0.81_gap_z_-1.08_phase_rescue_pnl_proj_+97.50_tape_$97/22_xc0,true,27.4357,20,93.33,62925.5666,-0.113952,-0.079941,0.000869,62942.6433,-17.0768,-0.027131,0.2000,0.2100,0.8000,0.8100,0.00000000,494.23889369,0.00000000,396.7434,0.0000,0.0000,-396.7434,395.3911,-1.3522
1781830779673,1,btc-updown-5m-1781830500,BUY,DOWN,49.71334095,usd,62.14167618,49.7133,0.8000,j_rescue_taker_down_fill_0.80_ask_0.80_gap_z_-1.08_phase_rescue_pnl_proj_+109.92_tape_$97/22_xc0,true,27.4357,20,93.33,62925.5666,-0.113952,-0.079941,0.000869,62942.6433,-17.0768,-0.027131,0.2000,0.2100,0.7900,0.8000,0.00000000,556.38056988,0.00000000,446.4567,0.0000,0.0000,-446.4567,439.5407,-6.9160
