timestamp,window_id,slug,pnl,entry_side,real_winner_side,h_market_win,h_salvaged,h_salvage_win,entry_price,exit_price,cum_market_wins,cum_market_losses,cum_salvage_escapes,cum_salvage_wins
1781702099061,1,btc-updown-15m-1781701200,42.2308,UP,UP,true,false,false,0.39,1.00,1,0,0,0
1781704799072,4,btc-updown-15m-1781703900,-20.7692,DOWN,UP,false,true,false,0.39,0.09,1,1,1,0
1781706599081,6,btc-updown-15m-1781705700,-27.0000,UP,DOWN,false,false,false,0.39,,1,2,1,0
1781707499084,7,btc-updown-15m-1781706600,-23.3514,UP,DOWN,false,true,false,0.37,0.05,1,3,2,0
1781708399088,8,btc-updown-15m-1781707500,-18.4737,UP,DOWN,false,true,false,0.38,0.12,1,4,3,0
1781711099099,11,btc-updown-15m-1781710200,-27.0000,DOWN,UP,false,false,false,0.38,,1,5,3,0
1781711999104,12,btc-updown-15m-1781711100,-27.0000,DOWN,UP,false,false,false,0.39,,1,6,3,0
1781713799111,14,btc-updown-15m-1781712900,-27.0000,DOWN,UP,false,false,false,0.39,,1,7,3,0
1781715599118,16,btc-updown-15m-1781714700,-18.4737,UP,DOWN,false,true,false,0.38,0.12,1,8,4,0
1781718299130,19,btc-updown-15m-1781717400,-23.5385,UP,DOWN,false,true,false,0.39,0.05,1,9,5,0
1781719199135,20,btc-updown-15m-1781718300,42.2308,UP,UP,true,false,false,0.39,1.00,2,9,5,0
1781721899137,23,btc-updown-15m-1781721000,42.2308,UP,UP,true,false,false,0.39,1.00,3,9,5,0
1781723699132,25,btc-updown-15m-1781722800,-23.4474,UP,DOWN,false,true,false,0.38,0.05,3,10,6,0
1781727299126,29,btc-updown-15m-1781726400,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,4,10,6,0
1781731799140,34,btc-updown-15m-1781730900,-18.6923,UP,DOWN,false,true,false,0.39,0.12,4,11,7,0
1781733599151,36,btc-updown-15m-1781732700,-18.4737,DOWN,UP,false,true,false,0.38,0.12,4,12,8,0
1781739899178,43,btc-updown-15m-1781739000,-23.3514,UP,DOWN,false,true,false,0.37,0.05,4,13,9,0
1781740799184,44,btc-updown-15m-1781739900,-8.2500,DOWN,UP,false,true,false,0.36,0.25,4,14,10,0
1781749799216,54,btc-updown-15m-1781748900,48.0000,UP,UP,true,false,false,0.36,1.00,5,14,10,0
1781750699257,55,btc-updown-15m-1781749800,-8.3077,DOWN,UP,false,true,false,0.39,0.27,5,15,11,0
1781753399233,58,btc-updown-15m-1781752500,-27.0000,UP,DOWN,false,false,false,0.39,,5,16,11,0
1781755199244,60,btc-updown-15m-1781754300,-20.0769,UP,DOWN,false,true,false,0.39,0.10,5,17,12,0
1781756099250,61,btc-updown-15m-1781755200,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,6,17,12,0
1781757899253,63,btc-updown-15m-1781757000,-20.0769,UP,DOWN,false,true,false,0.39,0.10,6,18,13,0
1781758799257,64,btc-updown-15m-1781757900,-27.0000,UP,DOWN,false,false,false,0.39,,6,19,13,0
1781760599272,66,btc-updown-15m-1781759700,-16.6154,DOWN,UP,false,true,false,0.39,0.15,6,20,14,0
1781762399271,68,btc-updown-15m-1781761500,42.2308,UP,UP,true,false,false,0.39,1.00,7,20,14,0
1781763299280,69,btc-updown-15m-1781762400,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,8,20,14,0
