timestamp,window_id,slug,event,status_before,current_atr,spot_price,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask
1780576199277,1,btc-updown-15m-1780576200,promote_live,ENTERED_PRE_START,100.7929,63191.2033,,,,0.4600,0.4700,0.5400,0.5500
1780577099282,2,btc-updown-15m-1780577100,promote_live,ENTERED_PRE_START,145.3786,63514.7105,,,,0.4900,0.5000,0.5100,0.5200
1780577999285,3,btc-updown-15m-1780578000,promote_live,ENTERED_PRE_START,120.6857,63701.4174,,,,0.4500,0.4600,0.5400,0.5500
1780578899286,4,btc-updown-15m-1780578900,promote_live,ENTERED_PRE_START,111.3571,63525.7853,,,,0.4600,0.4700,0.5400,0.5500
1780579799291,5,btc-updown-15m-1780579800,promote_live,ENTERED_PRE_START,117.1714,63162.5199,,,,0.5100,0.5200,0.4900,0.5000
1780580699291,6,btc-updown-15m-1780580700,promote_live,ENTERED_PRE_START,211.3571,63746.4956,,,,0.4800,0.5000,0.5100,0.5200
1780581599294,7,btc-updown-15m-1780581600,promote_live,ENTERED_PRE_START,148.3214,64138.5517,,,,0.4300,0.4400,0.5700,0.5800
1780582499294,8,btc-updown-15m-1780582500,promote_live,ENTERED_PRE_START,151.5286,64319.2292,,,,0.4300,0.4400,0.5700,0.5800
1780583399294,9,btc-updown-15m-1780583400,promote_live,ENTERED_PRE_START,103.8857,64089.7221,,,,0.4900,0.5000,0.5100,0.5200
1780584299299,10,btc-updown-15m-1780584300,promote_live,ENTERED_PRE_START,93.5571,63922.2253,,,,0.5000,0.5100,0.5000,0.5100
1780585199299,11,btc-updown-15m-1780585200,promote_live,ENTERED_PRE_START,100.9000,63893.7770,,,,0.5500,0.5600,0.4400,0.4500
1780586099338,12,btc-updown-15m-1780586100,promote_live,ENTERED_PRE_START,128.1857,64299.3430,,,,0.4700,0.4800,0.5300,0.5400
1780586999305,13,btc-updown-15m-1780587000,promote_live,ENTERED_PRE_START,102.3214,63919.1606,,,,0.5100,0.5200,0.4900,0.5000
1780587899307,14,btc-updown-15m-1780587900,promote_live,ENTERED_PRE_START,92.1214,63774.0975,,,,0.5100,0.5200,0.4900,0.5000
1780588799309,15,btc-updown-15m-1780588800,promote_live,ENTERED_PRE_START,81.8857,63828.5390,,,,0.4900,0.5000,0.5100,0.5200
1780589699312,16,btc-updown-15m-1780589700,promote_live,ENTERED_PRE_START,74.5571,63600.9644,,,,0.5400,0.5500,0.4600,0.4700
1780590599313,17,btc-updown-15m-1780590600,promote_live,ENTERED_PRE_START,88.9357,63578.2403,,,,0.5300,0.5400,0.4700,0.4800
1780591499316,18,btc-updown-15m-1780591500,promote_live,ENTERED_PRE_START,98.8214,63707.4872,,,,0.4300,0.4400,0.5700,0.5800
1780592399318,19,btc-updown-15m-1780592400,promote_live,ENTERED_PRE_START,90.8357,63494.4198,,,,0.5000,0.5100,0.5000,0.5100
1780593299317,20,btc-updown-15m-1780593300,promote_live,ENTERED_PRE_START,73.5429,63515.3242,,,,0.4900,0.5000,0.5000,0.5100
1780594199319,21,btc-updown-15m-1780594200,promote_live,ENTERED_PRE_START,89.6571,63146.8793,,,,0.5300,0.5400,0.4700,0.4800
1780595099319,22,btc-updown-15m-1780595100,promote_live,ENTERED_PRE_START,81.5571,62967.5200,,,,0.5400,0.5500,0.4600,0.4700
1780595999325,23,btc-updown-15m-1780596000,promote_live,ENTERED_PRE_START,139.4500,63462.8483,,,,0.4600,0.4800,0.5200,0.5400
