timestamp,window_id,slug,status,spent,returned,pnl,close_spot,ptb,winner
1780633799068,5,btc-updown-15m-1780632900,CLOSED_TIME,6.6000,13.2569,6.6569,63138.4653,62788.4587,UP
1780637399074,9,btc-updown-15m-1780636500,CLOSED_TIME,6.6000,2.5372,-4.0628,63442.3269,63314.1998,UP
1780639199073,11,btc-updown-15m-1780638300,CLOSED_TIME,4.2000,5.3530,1.1530,62271.7507,62826.5776,DOWN
1780640099074,12,btc-updown-15m-1780639200,CLOSED_TIME,4.2000,5.3316,1.1316,62026.2872,62265.1864,DOWN
1780640999075,13,btc-updown-15m-1780640100,CLOSED_TIME,4.2000,5.6478,1.4478,61610.7210,62023.6513,DOWN
1780645499078,18,btc-updown-15m-1780644600,CLOSED_TIME,4.2000,5.7225,1.5225,62817.6678,62192.9842,UP
1780646399078,19,btc-updown-15m-1780645500,CLOSED_TIME,4.2000,5.0682,0.8682,63042.5462,62822.5912,UP
1780649099091,22,btc-updown-15m-1780648200,CLOSED_TIME,6.6000,9.3072,2.7072,62489.4195,62748.5525,DOWN
1780649999088,23,btc-updown-15m-1780649100,CLOSED_TIME,6.6000,0.0000,-6.6000,62395.4780,62486.8904,DOWN
1780650899087,24,btc-updown-15m-1780650000,CLOSED_TIME,6.6000,8.8386,2.2386,62991.6843,62402.4396,UP
1780654499097,28,btc-updown-15m-1780653600,CLOSED_TIME,6.6000,2.6342,-3.9658,62699.8151,62809.1689,DOWN
1780656299100,30,btc-updown-15m-1780655400,CLOSED_TIME,6.6000,8.9319,2.3319,62636.0128,62533.6000,UP
1780660799108,35,btc-updown-15m-1780659900,CLOSED_TIME,6.6000,8.2088,1.6088,61917.8065,62062.2450,DOWN
1780665299120,40,btc-updown-15m-1780664400,CLOSED_TIME,4.2000,5.2383,1.0383,61936.4799,61911.8044,UP
1780667099128,42,btc-updown-15m-1780666200,CLOSED_TIME,4.2000,1.6123,-2.5877,61790.2986,62074.5962,DOWN
1780668899131,44,btc-updown-15m-1780668000,CLOSED_TIME,4.2000,2.0560,-2.1440,60817.8647,60687.9677,UP
1780672499197,48,btc-updown-15m-1780671600,CLOSED_TIME,4.2000,1.6146,-2.5854,60547.1643,60824.2898,DOWN
1780675199152,51,btc-updown-15m-1780674300,CLOSED_TIME,4.2000,5.1960,0.9960,60415.9929,60319.3291,UP
1780676999157,53,btc-updown-15m-1780676100,CLOSED_TIME,4.2000,5.7073,1.5073,60884.6633,60865.9989,UP
1780678799161,55,btc-updown-15m-1780677900,CLOSED_TIME,4.2000,5.2647,1.0647,61349.8772,60791.1257,UP
1780683299166,60,btc-updown-15m-1780682400,CLOSED_TIME,4.2000,5.1882,0.9882,60573.8981,60765.6538,DOWN
1780685099166,62,btc-updown-15m-1780684200,CLOSED_TIME,4.2000,5.3739,1.1739,59900.6102,60108.5557,DOWN
