timestamp,window_id,slug,status,spent,returned,pnl,close_spot,ptb,winner,strategy,utc_hour,time_pct_at_close,final_gap_z,final_atr,mid_cross_count,significant_mid_cross_count,entry_side,entry_reason,would_redeem_hold,h_market_win,h_salvaged,h_salvage_win
1781530799852,2,btc-updown-5m-1781530500,CLOSED_TIME,27.0000,5.4000,-21.6000,66599.8194,66786.6454,DOWN,cheap_hold_h,13,100.00,-18.2540,79.2786,13,2,UP,h_entry_up_ask_0.40_gap_z_-0.11_active_xc1,false,false,true,false
1781531399856,4,btc-updown-5m-1781531100,CLOSED_TIME,27.0000,67.5000,40.5000,66564.0583,66534.6289,UP,cheap_hold_h,13,100.00,2.6358,86.4857,41,5,UP,h_entry_up_ask_0.40_gap_z_-0.16_active_xc0,false,true,false,false
1781531699856,5,btc-updown-5m-1781531400,CLOSED_TIME,27.0000,67.5000,40.5000,66411.8798,66563.2811,DOWN,cheap_hold_h,13,100.00,-13.7959,85.0071,33,5,DOWN,h_entry_down_ask_0.40_gap_z_+0.09_active_xc2,false,true,false,false
1781531999857,6,btc-updown-5m-1781531700,CLOSED_TIME,27.0000,67.5000,40.5000,66397.7156,66412.3163,DOWN,cheap_hold_h,13,100.00,-1.6807,67.2929,13,4,DOWN,h_entry_down_ask_0.40_gap_z_+0.10_active_xc0,false,true,false,false
1781532299858,7,btc-updown-5m-1781532000,CLOSED_TIME,27.0000,3.4615,-23.5385,66301.9324,66400.2785,DOWN,cheap_hold_h,14,100.00,-11.9482,63.7571,0,0,UP,h_entry_up_ask_0.39_gap_z_-0.16_active_xc0,false,false,true,false
1781532599861,8,btc-updown-5m-1781532300,CLOSED_TIME,27.0000,16.2000,-10.8000,66335.8328,66310.6709,UP,cheap_hold_h,14,100.00,3.4466,56.5500,22,6,DOWN,h_entry_down_ask_0.40_gap_z_+0.12_active_xc0,false,false,true,false
1781533199861,10,btc-updown-5m-1781532900,CLOSED_TIME,27.0000,3.6486,-23.3514,66496.3342,66393.4588,UP,cheap_hold_h,14,100.00,11.8961,66.9857,4,1,DOWN,h_entry_down_ask_0.37_gap_z_+0.09_active_xc0,false,false,true,false
1781533499860,11,btc-updown-5m-1781533200,CLOSED_TIME,27.0000,4.0500,-22.9500,66365.4803,66492.0374,DOWN,cheap_hold_h,14,100.00,-14.8483,66.0214,0,0,UP,h_entry_up_ask_0.40_gap_z_-0.12_active_xc0,false,false,true,false
1781533799862,12,btc-updown-5m-1781533500,CLOSED_TIME,27.0000,0.0000,-27.0000,66511.8576,66365.1549,UP,cheap_hold_h,14,100.00,18.3389,61.9643,0,0,DOWN,h_entry_down_ask_0.40_gap_z_+0.09_active_xc0,false,false,false,false
1781534099862,13,btc-updown-5m-1781533800,CLOSED_TIME,27.0000,10.8000,-16.2000,66487.1646,66513.5399,DOWN,cheap_hold_h,14,100.00,-3.5924,56.8714,0,0,UP,h_entry_up_ask_0.40_gap_z_-0.16_active_xc0,false,false,true,false
1781534399864,14,btc-updown-5m-1781534100,CLOSED_TIME,27.0000,4.0500,-22.9500,66452.2787,66490.6086,DOWN,cheap_hold_h,14,100.00,-5.6886,52.1929,1,0,UP,h_entry_up_ask_0.40_gap_z_-0.09_active_xc1,false,false,true,false
1781534999866,16,btc-updown-5m-1781534700,CLOSED_TIME,27.0000,0.0000,-27.0000,66574.2185,66487.1259,UP,cheap_hold_h,14,100.00,15.0416,44.8500,0,0,DOWN,h_entry_down_ask_0.38_gap_z_+0.18_active_xc0,false,false,false,false
1781535299867,17,btc-updown-5m-1781535000,CLOSED_TIME,27.0000,6.7500,-20.2500,66599.7377,66575.2617,UP,cheap_hold_h,14,100.00,4.7636,39.8000,16,3,DOWN,h_entry_down_ask_0.40_gap_z_+0.19_active_xc0,false,false,true,false
1781535599869,18,btc-updown-5m-1781535300,CLOSED_TIME,27.0000,67.5000,40.5000,66553.7648,66599.0059,DOWN,cheap_hold_h,14,100.00,-9.3789,37.3643,16,1,DOWN,h_entry_down_ask_0.40_gap_z_+0.12_active_xc7,false,true,false,false
1781535899870,19,btc-updown-5m-1781535600,CLOSED_TIME,27.0000,10.1250,-16.8750,66588.4396,66550.1466,UP,cheap_hold_h,15,100.00,8.0602,36.8000,0,0,DOWN,h_entry_down_ask_0.40_gap_z_+0.18_active_xc0,false,false,true,false
1781536199871,20,btc-updown-5m-1781535900,CLOSED_TIME,27.0000,4.7250,-22.2750,66608.8097,66584.9017,UP,cheap_hold_h,15,100.00,4.9011,37.7857,6,1,DOWN,h_entry_down_ask_0.40_gap_z_+0.16_active_xc0,false,false,true,false
1781536499872,21,btc-updown-5m-1781536200,CLOSED_TIME,27.0000,7.8158,-19.1842,66583.7892,66608.9087,DOWN,cheap_hold_h,15,100.00,-5.0586,38.4643,2,0,UP,h_entry_up_ask_0.38_gap_z_-0.04_active_xc2,false,false,true,false
1781536799873,22,btc-updown-5m-1781536500,CLOSED_TIME,27.0000,67.5000,40.5000,66671.5540,66584.8752,UP,cheap_hold_h,15,100.00,20.7683,32.3286,5,1,UP,h_entry_up_ask_0.40_gap_z_-0.06_active_xc0,false,true,false,false
1781537099874,23,btc-updown-5m-1781536800,CLOSED_TIME,27.0000,5.4000,-21.6000,66622.1966,66677.6476,DOWN,cheap_hold_h,15,100.00,-12.0435,35.6643,4,1,UP,h_entry_up_ask_0.40_gap_z_-0.05_active_xc2,false,false,true,false
1781537399877,24,btc-updown-5m-1781537100,CLOSED_TIME,27.0000,20.2500,-6.7500,66616.3227,66622.4066,DOWN,cheap_hold_h,15,100.00,-1.3757,34.2571,3,1,DOWN,h_entry_down_ask_0.40_gap_z_+0.03_active_xc0,false,true,true,false
1781537699880,25,btc-updown-5m-1781537400,CLOSED_TIME,27.0000,7.6154,-19.3846,66618.3337,66616.1985,UP,cheap_hold_h,15,100.00,0.3781,43.7429,19,7,UP,h_entry_up_ask_0.39_gap_z_-0.17_active_xc0,false,true,true,false
1781537999879,26,btc-updown-5m-1781537700,CLOSED_TIME,27.0000,0.0000,-27.0000,66762.7707,66616.0331,UP,cheap_hold_h,15,100.00,21.1549,53.7286,1,0,DOWN,h_entry_down_ask_0.40_gap_z_+0.13_active_xc1,false,false,false,false
1781538299881,27,btc-updown-5m-1781538000,CLOSED_TIME,27.0000,3.3750,-23.6250,66864.0843,66763.6201,UP,cheap_hold_h,15,100.00,11.3652,68.4714,0,0,DOWN,h_entry_down_ask_0.40_gap_z_+0.08_active_xc0,false,false,true,false
1781538599880,28,btc-updown-5m-1781538300,CLOSED_TIME,27.0000,0.0000,-27.0000,67154.9763,66871.5678,UP,cheap_hold_h,15,100.00,26.6810,82.2786,0,0,DOWN,h_entry_down_ask_0.40_gap_z_+0.12_active_xc0,false,false,false,false
1781538899883,29,btc-updown-5m-1781538600,CLOSED_TIME,27.0000,67.5000,40.5000,67206.8887,67154.7810,UP,cheap_hold_h,15,100.00,4.6356,87.0714,9,2,UP,h_entry_up_ask_0.40_gap_z_-0.11_active_xc0,false,true,false,false
1781539799886,32,btc-updown-5m-1781539500,CLOSED_TIME,27.0000,13.1538,-13.8462,67145.4375,67127.8935,UP,cheap_hold_h,16,100.00,2.2953,59.2071,23,3,UP,h_entry_up_ask_0.39_gap_z_-0.11_active_xc0,false,true,true,false
